image,version,modules,status,output_dir,Mask source,Box source,Input box,YOLO model,YOLO-Seg model,SAM foreground pixels,Refined foreground pixels,SAM edge alignment,Refined edge alignment,SAM IoU,SAM Dice,Refined IoU,Refined Dice
final_01_11_IMG_1359.jpg,v1_sam_auto_grabcut,SAM auto + Canny score + GrabCut,ok,final_test_package\experiment_outputs\final_01_11_IMG_1359\v1_sam_auto_grabcut,sam_auto,none,,,,294720,294720,0.6176,0.6176,,,,
final_01_11_IMG_1359.jpg,v2_sam_auto_edge_grabcut,SAM auto + Canny score + Edge refine + GrabCut,ok,final_test_package\experiment_outputs\final_01_11_IMG_1359\v2_sam_auto_edge_grabcut,sam_auto,none,,,,300194,300194,0.6714,0.6714,,,,
final_01_11_IMG_1359.jpg,v3_box_sam_grabcut,Manual box/points + SAM + Canny + GrabCut,skipped: box,final_test_package\experiment_outputs\final_01_11_IMG_1359\v3_box_sam_grabcut,,,,,,,,,,,,,
final_01_11_IMG_1359.jpg,v4_box_sam_edge_only,Manual box/points + SAM + Canny + Edge refine,skipped: box,final_test_package\experiment_outputs\final_01_11_IMG_1359\v4_box_sam_edge_only,,,,,,,,,,,,,
final_01_11_IMG_1359.jpg,v5_yolo_box_sam_grabcut,YOLO detection + SAM + Canny + GrabCut,ok,final_test_package\experiment_outputs\final_01_11_IMG_1359\v5_yolo_box_sam_grabcut,sam_prompt,yolo,"[71, 329, 931, 1161]",yolov8n.pt,,275348,275348,0.7310,0.7310,,,,
final_01_11_IMG_1359.jpg,v6_yolo_box_sam_edge_grabcut,YOLO detection + SAM + Canny + Edge refine + GrabCut,ok,final_test_package\experiment_outputs\final_01_11_IMG_1359\v6_yolo_box_sam_edge_grabcut,sam_prompt,yolo,"[71, 329, 931, 1161]",yolov8n.pt,,279870,279870,0.7518,0.7518,,,,
final_01_11_IMG_1359.jpg,v7_yolo_seg_only,YOLO-Seg direct mask + Canny + Edge refine,ok,final_test_package\experiment_outputs\final_01_11_IMG_1359\v7_yolo_seg_only,yolo_seg,yolo_seg_mask,"[135, 395, 854, 1094]",,yolov8n-seg.pt,291233,291233,0.5646,0.5646,,,,
final_01_11_IMG_1359.jpg,v8_yolo_seg_grabcut,YOLO-Seg direct mask + Canny + GrabCut,ok,final_test_package\experiment_outputs\final_01_11_IMG_1359\v8_yolo_seg_grabcut,yolo_seg,yolo_seg_mask,"[135, 395, 854, 1094]",,yolov8n-seg.pt,294559,387267,0.5344,0.7959,,,,
final_02_30_IMG_7370.jpg,v1_sam_auto_grabcut,SAM auto + Canny score + GrabCut,ok,final_test_package\experiment_outputs\final_02_30_IMG_7370\v1_sam_auto_grabcut,sam_auto,none,,,,58594,66957,0.7993,0.8623,,,,
final_02_30_IMG_7370.jpg,v2_sam_auto_edge_grabcut,SAM auto + Canny score + Edge refine + GrabCut,ok,final_test_package\experiment_outputs\final_02_30_IMG_7370\v2_sam_auto_edge_grabcut,sam_auto,none,,,,59816,67124,0.8116,0.8620,,,,
final_02_30_IMG_7370.jpg,v3_box_sam_grabcut,Manual box/points + SAM + Canny + GrabCut,skipped: box,final_test_package\experiment_outputs\final_02_30_IMG_7370\v3_box_sam_grabcut,,,,,,,,,,,,,
final_02_30_IMG_7370.jpg,v4_box_sam_edge_only,Manual box/points + SAM + Canny + Edge refine,skipped: box,final_test_package\experiment_outputs\final_02_30_IMG_7370\v4_box_sam_edge_only,,,,,,,,,,,,,
final_02_30_IMG_7370.jpg,v5_yolo_box_sam_grabcut,YOLO detection + SAM + Canny + GrabCut,ok,final_test_package\experiment_outputs\final_02_30_IMG_7370\v5_yolo_box_sam_grabcut,sam_prompt,yolo,"[39, 550, 519, 1599]",yolov8n.pt,,209915,210896,0.9716,0.9618,,,,
final_02_30_IMG_7370.jpg,v6_yolo_box_sam_edge_grabcut,YOLO detection + SAM + Canny + Edge refine + GrabCut,ok,final_test_package\experiment_outputs\final_02_30_IMG_7370\v6_yolo_box_sam_edge_grabcut,sam_prompt,yolo,"[39, 550, 519, 1599]",yolov8n.pt,,209915,210896,0.9716,0.9618,,,,
final_02_30_IMG_7370.jpg,v7_yolo_seg_only,YOLO-Seg direct mask + Canny + Edge refine,ok,final_test_package\experiment_outputs\final_02_30_IMG_7370\v7_yolo_seg_only,yolo_seg,yolo_seg_mask,"[87, 635, 484, 1599]",,yolov8n-seg.pt,220405,220405,0.6893,0.6893,,,,
final_02_30_IMG_7370.jpg,v8_yolo_seg_grabcut,YOLO-Seg direct mask + Canny + GrabCut,ok,final_test_package\experiment_outputs\final_02_30_IMG_7370\v8_yolo_seg_grabcut,yolo_seg,yolo_seg_mask,"[87, 635, 484, 1599]",,yolov8n-seg.pt,223862,217347,0.5838,0.8440,,,,
final_03_27_IMG_6281.jpg,v1_sam_auto_grabcut,SAM auto + Canny score + GrabCut,ok,final_test_package\experiment_outputs\final_03_27_IMG_6281\v1_sam_auto_grabcut,sam_auto,none,,,,130143,161969,0.7368,0.8283,,,,
final_03_27_IMG_6281.jpg,v2_sam_auto_edge_grabcut,SAM auto + Canny score + Edge refine + GrabCut,ok,final_test_package\experiment_outputs\final_03_27_IMG_6281\v2_sam_auto_edge_grabcut,sam_auto,none,,,,130143,161969,0.7368,0.8283,,,,
final_03_27_IMG_6281.jpg,v3_box_sam_grabcut,Manual box/points + SAM + Canny + GrabCut,skipped: box,final_test_package\experiment_outputs\final_03_27_IMG_6281\v3_box_sam_grabcut,,,,,,,,,,,,,
final_03_27_IMG_6281.jpg,v4_box_sam_edge_only,Manual box/points + SAM + Canny + Edge refine,skipped: box,final_test_package\experiment_outputs\final_03_27_IMG_6281\v4_box_sam_edge_only,,,,,,,,,,,,,
final_03_27_IMG_6281.jpg,v5_yolo_box_sam_grabcut,YOLO detection + SAM + Canny + GrabCut,ok,final_test_package\experiment_outputs\final_03_27_IMG_6281\v5_yolo_box_sam_grabcut,sam_prompt,yolo,"[823, 464, 1199, 1599]",yolov8n.pt,,167097,205590,0.5801,0.9298,,,,
final_03_27_IMG_6281.jpg,v6_yolo_box_sam_edge_grabcut,YOLO detection + SAM + Canny + Edge refine + GrabCut,ok,final_test_package\experiment_outputs\final_03_27_IMG_6281\v6_yolo_box_sam_edge_grabcut,sam_prompt,yolo,"[823, 464, 1199, 1599]",yolov8n.pt,,170067,202813,0.5920,0.8968,,,,
final_03_27_IMG_6281.jpg,v7_yolo_seg_only,YOLO-Seg direct mask + Canny + Edge refine,ok,final_test_package\experiment_outputs\final_03_27_IMG_6281\v7_yolo_seg_only,yolo_seg,yolo_seg_mask,"[155, 515, 534, 1314]",,yolov8n-seg.pt,212785,212785,0.5848,0.5848,,,,
final_03_27_IMG_6281.jpg,v8_yolo_seg_grabcut,YOLO-Seg direct mask + Canny + GrabCut,ok,final_test_package\experiment_outputs\final_03_27_IMG_6281\v8_yolo_seg_grabcut,yolo_seg,yolo_seg_mask,"[155, 515, 534, 1314]",,yolov8n-seg.pt,215531,223315,0.5684,0.8196,,,,
final_04_20_IMG_3558.jpg,v1_sam_auto_grabcut,SAM auto + Canny score + GrabCut,ok,final_test_package\experiment_outputs\final_04_20_IMG_3558\v1_sam_auto_grabcut,sam_auto,none,,,,91900,94578,0.8386,0.8764,,,,
final_04_20_IMG_3558.jpg,v2_sam_auto_edge_grabcut,SAM auto + Canny score + Edge refine + GrabCut,ok,final_test_package\experiment_outputs\final_04_20_IMG_3558\v2_sam_auto_edge_grabcut,sam_auto,none,,,,93630,94867,0.8498,0.8746,,,,
final_04_20_IMG_3558.jpg,v3_box_sam_grabcut,Manual box/points + SAM + Canny + GrabCut,skipped: box,final_test_package\experiment_outputs\final_04_20_IMG_3558\v3_box_sam_grabcut,,,,,,,,,,,,,
final_04_20_IMG_3558.jpg,v4_box_sam_edge_only,Manual box/points + SAM + Canny + Edge refine,skipped: box,final_test_package\experiment_outputs\final_04_20_IMG_3558\v4_box_sam_edge_only,,,,,,,,,,,,,
